company,workers_requested,lca_filed,company_description,order1,order2
Infosys,33425,33425,India-based outsourcing firm,6,1
Tata,43811,16651,India-based outsourcing firm,3,2
IBM,11421,11421,Private company,14,3
Wipro,33028,10499,India-based outsourcing firm,7,4
Deloitte,153061,9827,Private company,1,5
Accenture,17504,9467,Foreign-based outsourcing firm,11,6
HCL America,15752,6089,India-based outsourcing firm,12,7
Igate,35859,4395,US-based outsourcing firm,4,8
Cognizant,82724,3388,US-based outsourcing firm,2,9
Capgemini,15416,2833,Foreign-based outsourcing firm,13,10
PwC,23550,1884,Private company,8,11
Apple,8755,1349,Private company,15,12
Mindtree,23520,1307,India-based outsourcing firm,9,13
Syntel,33620,1088,US-based outsourcing firm,5,14
Oracle,8381,1069,Private company,16,15
Mphasis,19651,994,Private company,10,16