Target,Source,< $50K,$50-100K,$100-150K,> $150K
Adobe,Santa Clara,,155,1042,37
Adobe,San Francisco,,201,650,7
Amazon,Santa Clara,,41,1167,154
Amazon,San Francisco,,11,122,4
Apple,Santa Clara,250,3865,3578,950
Apple,San Francisco,,,9,2
Cisco,Santa Clara,,186,2406,376
Cisco,San Francisco,,15,130,21
Deloitte,Santa Clara,,2050,2611,830
Deloitte,San Mateo,,125,125,30
Deloitte,San Francisco,15,2435,1260,675
Facebook,Santa Clara,,,3,6
Facebook,San Mateo,,44,1731,449
Facebook,San Francisco,,,,2
Google,Santa Clara,,76,1645,369
Google,San Mateo,,6,67,10
Google,San Francisco,,4,54,17
Infosys,Santa Clara,,2437,642,7
Infosys,San Mateo,,294,114,
Infosys,San Francisco,,407,116,7
Intuit,Santa Clara,,307,573,376
Intuit,San Mateo,,252,125,6
Intuit,San Francisco,,,101,2
Juniper,Santa Clara,,11,39,2671
Juniper,San Francisco,,,6,
Mindtree,Santa Clara,,1520,80,
Mindtree,San Mateo,,60,,
Mindtree,San Francisco,,20,,
Mphasis,Santa Clara,,170,48,10
Mphasis,San Francisco,,1461,225,
Nvidia,Santa Clara,,360,1230,590
Oracle,Santa Clara,,40,725,174
Oracle,San Mateo,,146,988,310
Oracle,San Francisco,,30,107,22
PwC,Santa Clara,,594,520,391
PwC,San Mateo,,4,2,
PwC,San Francisco,,539,561,193
Samsung,Santa Clara,,58,758,69
Samsung,San Mateo,,1,7,
Samsung,San Francisco,,40,4,1
Synopsys,Santa Clara,,,2396,1545
Synopsys,San Francisco,,,210,
Tata,Santa Clara,,1662,11,
Tata,San Mateo,,78,3,
Tata,San Francisco,,144,1,
Uber,Santa Clara,,,11,1
Uber,San Francisco,,214,513,130
Wipro,Santa Clara,,2672,28,3
Wipro,San Mateo,,663,6,
Wipro,San Francisco,,460,5,